123;<listInd>;[;0;1;20;0;0
124;e;);0;1;NULL;0;0
125;,;,;1;1;126;0;0
126;<listExp>;( + - N f i n s t;0;1;22;0;0
127;e;# ) , ];0;1;NULL;0;0
128;<Exp'>;! =;0;1;33;0;0
129;e;! # ) , = ];0;1;NULL;0;0
130;<simexp'>;+ - O;0;1;34;0;0
131;e;! # ) + , - = O ];0;1;NULL;0;0
132;<simterm'>;* / A d m;0;1;35;0;0
